row,station_number,city,station_name,operational_status,latitude,longitude,coords_source,google_place_name,google_address,place_id,original_short_url,google_maps_link,notes
12,MK022,مكة,1بطحاء قريش,Operation,21.3493706,39.8347736,google_place,محطة درب,"7290 ابو العاص بن الربيع, حي بطحاء قريش, MDQA3315، 3315, Makkah Saudi Arabia",ChIJt672RvcPwhURH5N9C-XlurA,https://maps.app.goo.gl/5X6YUHWPBh1GuEgL8,"https://www.google.com/maps?q=21.3493706,39.8347736",
13,MK023,مكة,بن درويش,Operation,21.4704375,39.9289375,google_place,محطة درب,"FWCH+5HJ, Al Khadra, Makkah 24267, Saudi Arabia",ChIJjdvRiScBwhURO9YkVCJO804,https://maps.app.goo.gl/t8KPRvutMzRvVrV78,"https://www.google.com/maps?q=21.4704375,39.9289375",
14,MK029,مكة,الدائري الثالث-الذكرى,Operation,21.4077361,39.7839162,google_place,محطة درب,"Third Ring Rd, Ar Rusayfah, Makkah 24232, Saudi Arabia",ChIJb9SYsUMbwhUROdJLowp_j20,https://maps.app.goo.gl/SPDW18ud8ZszM4Sr7,"https://www.google.com/maps?q=21.4077361,39.7839162",
15,MK031,مكة,2بطحاء قريش,Operation,21.3655079,39.8315794,google_place,محطة درب,"حي بطحاء قريش, MDQA2975، 2975 شارع عتاب إبن أسيد رضى الله عنه، 9065, Makkah Saudi Arabia",ChIJ_15-seQFwhURmKUx3Xowu-U,https://maps.app.goo.gl/5sGAEfc4vWWdpZDS6,"https://www.google.com/maps?q=21.3655079,39.8315794",
16,MK033,مكة,ابو وافي العمرة,Operation,21.5996063,39.7879791,google_place,محطة درب,"Al Umrah Al Jadidah, Makkah 24418, Saudi Arabia",ChIJ3Q8Pz533wRURtu5LDzIDbP0,https://maps.app.goo.gl/1UzEBBe17RRAH2M38,"https://www.google.com/maps?q=21.5996063,39.7879791",
17,MK047,مكة,القادسية,Operation,21.4656864,39.9771851,google_place,محطة درب,"7300 سعيد بن ثابت الانصاري, حي الكوثر, MERB2552، 2552, Makkah Saudi Arabia",ChIJB08JVQABwhUR3DfxuoMrYiw,https://maps.app.goo.gl/zNh3dypoRFRX16vY7,"https://www.google.com/maps?q=21.4656864,39.9771851",
18,MK049,مكة,السلولي,Franchises,21.3454637,39.7641901,google_place,محطة درب,"شارع عبدالله عريف, Walyal Ahd Dist., Makkah 24356, Saudi Arabia",ChIJYT-kTwARwhURcT4cPdXPH9k,https://maps.app.goo.gl/45LDeqE1syDZvbNq6,"https://www.google.com/maps?q=21.3454637,39.7641901",
19,MK064,مكة,جعرانه,Operation,21.5484955,39.9480126,google_place,محطة درب,"GWXX+774, Al Ju'ranah 24443, Saudi Arabia",ChIJ8zA9PAD_wRURlngnGCLrExY,https://maps.app.goo.gl/7bKLuzouMWks5XFEA,"https://www.google.com/maps?q=21.5484955,39.9480126",
20,MK068,مكة,الجموم - الكنيدري,Operation,21.6142042,39.7005756,google_place,محطة درب,"الكنيدري, Al Jumum 24372, Saudi Arabia",ChIJ6_njIgD1wRUR07ciV0T7rVU,https://maps.app.goo.gl/sN6fSKP5jCHgU2vP9,"https://www.google.com/maps?q=21.6142042,39.7005756",
21,MK072,مكة,العزيزية,Operation,21.399723,39.8773799,google_place,محطة درب,"7925 Al Shiekh Abdallah Ibn Danash, Al Jamiah, Makkah 24242, Saudi Arabia",ChIJ93ihcggFwhURIKjQNUm8qr4,https://maps.app.goo.gl/FZHcAMvFdCfC8HdY7,"https://www.google.com/maps?q=21.3997230,39.8773799",
22,MK084,مكة,الكر النازل,Operation,21.3574273,40.2145054,google_place,محطة درب,"Meccah - Al Taif, مكة 26798, Saudi Arabia",ChIJQS-obgD36RUROXmVHThH0kI,https://maps.app.goo.gl/JKEzgBW8QCmiDywMA,"https://www.google.com/maps?q=21.3574273,40.2145054",
23,MK054,مكة,محطة طريق السيل,Operation,21.5186527,40.1039672,google_place,محطة درب,"2630 طريق الملك فيصل بن عبد العزيز, مكة 24464, Saudi Arabia",ChIJa9sC21YF6hURJy5UDKWrJqs,https://maps.app.goo.gl/ra2FeTjDM7SCDRFY8,"https://www.google.com/maps?q=21.5186527,40.1039672",
24,MK323,مكة,جبل ثور-جوهرة النسيم,Franchises,21.360823,39.877632,google_place,محطة درب,"Jabal Thawr Rd, An Naseem, Makkah 24245, Saudi Arabia",ChIJ0VLgafMFwhURc7i0oQfIEdE,https://maps.app.goo.gl/EbEkdV3DSoGxQJTi8,"https://www.google.com/maps?q=21.3608230,39.8776320",
25,MK257,مكة,الربوة مكة,Operation,21.3974765,39.7742498,dropped_pin,,,,https://maps.app.goo.gl/Mji7fiQ8iX6WxWCF9?g_st=iw,"https://www.google.com/maps?q=21.3974765,39.7742498",
26,MK258,مكة,الستين مكة,Operation,21.4249858,39.7862259,google_place,BENZOL,"CQGP+2G2، طريق الامير محمد بن سلمان، حي النزهة, Makkah 24225, Saudi Arabia",ChIJO3ApLy4bwhURfCRCSvf2Paw,https://maps.app.goo.gl/ZghKvLVfusUTTt656?g_st=iw,"https://www.google.com/maps?q=21.4249858,39.7862259",
27,MK004,الطائف,عاصفة الصحراء,Operation,21.500992,40.4904705,google_place,محطة درب,"As Sail Rd, طريق مكة المكرمة, Taif Saudi Arabia",ChIJeSfSrCcx6hURu1kONYcv8P0,https://maps.app.goo.gl/A2BFSbroMH5SPbaY8,"https://www.google.com/maps?q=21.5009920,40.4904705",
28,MK005,الطائف,الشيباني,Operation,21.355569,40.449593,google_place,Darb 5 Petrol Station,"حي, Airport Rd, Alhalqa Al Sharqiyyah, Taif 26553, Saudi Arabia",ChIJ7eKDTgIn6hUROqMrPa-tgzY,https://maps.app.goo.gl/q5vjDvNzRWDUZXPX8,"https://www.google.com/maps?q=21.3555690,40.4495930",
29,MK006,الطائف,جنوب الطائف,Operation,21.237471,40.464029,google_place,محطة درب,"شارع حسان بن ثابت, Alsabaa, Taif 26517, Saudi Arabia",ChIJ6ZyW3e6P6RURKrCoWSmvXAM,https://maps.app.goo.gl/BSajPNHHJchJyAUFA,"https://www.google.com/maps?q=21.2374710,40.4640290",
30,MK028,الطائف,احلى مساء,Operation,21.3112925,40.3669245,google_place,محطة درب,"TAUA6131, 6131, Taif 26581, Saudi Arabia",ChIJSSbBVlKL6RURtyz9hRXdQMM,https://maps.app.goo.gl/MNyozB7qUzoJ5m3s6,"https://www.google.com/maps?q=21.3112925,40.3669245",
31,MK035,الطائف,الجمعية الوسام( طريق الملك فهد),Operation,21.237522,40.375183,google_place,محطة درب,"King Fahad Ring Rd, Alqrahin, Taif 26511, Saudi Arabia",ChIJazYwXgCN6RURysy6hTGy55o,https://maps.app.goo.gl/KsUJR4js7yraMkoa8,"https://www.google.com/maps?q=21.2375220,40.3751830",
32,MK046,الطائف,الحليس(طريق الجنوب),Operation,21.227507,40.531671,google_place,محطة درب,"طريق الجنوب الباحة, C38, Taif 26733, Saudi Arabia",ChIJYUkMpKaF6RUR4BnofnkKA-E,https://maps.app.goo.gl/VG5g8gwZSHEdxoGb8,"https://www.google.com/maps?q=21.2275070,40.5316710",
33,MK063,الطائف,السواط(شهار),Operation,21.2340022,40.4154689,google_place,محطة درب,"2505 Qouraish, Al Sadad, Taif 26514, Saudi Arabia",ChIJ-bKoDwCP6RURwEm_yjul5Ag,https://maps.app.goo.gl/pGagHfPk8rwvto5t8,"https://www.google.com/maps?q=21.2340022,40.4154689",
34,MK067,الطائف,تربه,Franchises,21.2166126,41.6313886,google_place,محطة درب,"King Fahd Road, Al Salam, Turbah 29541, Saudi Arabia",ChIJRQCSWvc97BURLxLp0onreX0,https://maps.app.goo.gl/qPZMRQTHkY4XYcRt6,"https://www.google.com/maps?q=21.2166126,41.6313886",
35,MK093,الطائف,الملك خالد,Operation,21.2900198,40.4437956,google_place,محطة درب,"5175 King Khalid Rd, Aljafijif، TADA7888، 7888, Taif 26523, Saudi Arabia",ChIJLctCWwCJ6RURZzsvvR6JVAs,https://maps.app.goo.gl/dywgWoyDthxqK79U8,"https://www.google.com/maps?q=21.2900198,40.4437956",
36,MK099,الطائف,البيعه,Operation,21.2826293,40.4399932,google_place,محطة درب,"البيعه, Aljal, Taif 24372, Saudi Arabia",ChIJfQjrWQCJ6RURJyFm5bfjUCE,https://maps.app.goo.gl/S4Wsqx2MYn8U9Zy27,"https://www.google.com/maps?q=21.2826293,40.4399932",
37,MK015,جدة,النسيم,Operation,21.511758,39.226482,google_place,محطة درب,"King Abdallah Rd, An Naseem, Jeddah 23233, Saudi Arabia",ChIJE7Js9brPwxURpp4MNaOT8F0,https://maps.app.goo.gl/KHGrNchehzTG1ZQF8,"https://www.google.com/maps?q=21.5117580,39.2264820",
38,MK071,جدة,الاجاويد,Operation,21.3957088,39.2932839,google_place,محطة درب,"Alajaweed, Jeddah 22443, Saudi Arabia",ChIJ62xuVKPLwxURrn1No8l3Sd0,https://maps.app.goo.gl/g6TEPEq1mZXRZKgy5,"https://www.google.com/maps?q=21.3957088,39.2932839",
39,MK100,جدة,الكوثر,Operation,21.7294266,39.2061742,dropped_pin,,,,https://maps.app.goo.gl/Ssp39Ck5qFinCSDQ6,"https://www.google.com/maps?q=21.7294266,39.2061742",
40,MK154,جدة,العليا-ابحر الشمالية,Franchises,21.7464487,39.1480853,google_place,محطة درب,"Amro Ibn Mourrah, Abhur Al Junoobiyah, Jeddah 23734, Saudi Arabia",ChIJEatJcUFjwRURtrIltAweruE,https://maps.app.goo.gl/2r9PkGupt6AJ5BjeA,"https://www.google.com/maps?q=21.7464487,39.1480853",
41,MK210,جدة,الفلاح-فلسطين,Franchises,21.557699,39.2908608,google_place,محطة درب,"3359 Palestine, Mraykh, Jeddah 23252, Saudi Arabia",ChIJH1ItU_7TwxURrMG15sta3As,https://maps.app.goo.gl/JYngJqtoAze9rnSq8,"https://www.google.com/maps?q=21.5576990,39.2908608",
42,MK300,جدة,بترولايز البغدادية,Franchises,21.4946843,39.1737006,google_place,محطة درب,"3570 Al Andalus Rd, Al-Baghdadiyah Al-Gharbiyah, Jeddah 22232, Saudi Arabia",ChIJt-f9J6HPwxUR3ZgSS9usDxY,https://maps.app.goo.gl/6MuFMRYU1ogtLSDw6,"https://www.google.com/maps?q=21.4946843,39.1737006",
43,MK103,جدة,اكويلا فيول - المعلمي,Franchises,21.6138704,39.1747977,google_place,محطة درب,"Yahya Al Mualimi, Ar Rabwah, Jeddah 23533, Saudi Arabia",ChIJre_dpi_RwxUR9SQa7YOIrho,https://maps.app.goo.gl/KK4iz2cCBj5ZYB8H6,"https://www.google.com/maps?q=21.6138704,39.1747977",
44,MK216,جدة,الواحة,Franchises,21.552031,39.244358,google_place,محطة درب,"Dihya Bin Khalifa Al-Kalbi, Rd, Jeddah 23353, Saudi Arabia",ChIJf1baXYvTwxURURohNRLPzxk,https://maps.app.goo.gl/eLGR6WpCW8veAsEX7,"https://www.google.com/maps?q=21.5520310,39.2443580",
45,MK223,جدة,بترو لايز المساعدية  / الحمراء,Franchises,21.537642,39.163804,google_place,محطة درب,"Arafat, Al-Hamra'a, Jeddah 23323, Saudi Arabia",ChIJran6xj_PwxURy4XNOXAt38Q,https://maps.app.goo.gl/FAJnLHzBz3AoNpR88,"https://www.google.com/maps?q=21.5376420,39.1638040",
46,MK289,جدة,طريق الليث التعاون-الفضيلة,Franchises,21.328842,39.261868,google_place,محطة درب,"Al-Laith Rd, At Taawon, Jeddah 22542, Saudi Arabia",ChIJ4f4AZqi1wxUR60vLPMMQlao,https://maps.app.goo.gl/YA2CGo79RBqmZJ9r5,"https://www.google.com/maps?q=21.3288420,39.2618680",
47,MK311,جدة,قويزه,Franchises,21.4825375,39.3018479,google_place,محطة درب,"حي, طريق المئة، المنتزهات, Jeddah 22354, Saudi Arabia",ChIJT1bGfADNwxUR-_2G91MGugc,https://maps.app.goo.gl/VLy41ZGKdoLsa75h9,"https://www.google.com/maps?q=21.4825375,39.3018479",
48,JA053,جازان,خبت نخلان(الملك عبد العزيز)-جيزان,Operation,17.1929375,42.6393125,google_place,محطة درب,"5JVQ+5P5, Lakisah 24372, Saudi Arabia",ChIJwRRs7YNP_RURUtnJvXML6Io,https://maps.app.goo.gl/YkC6JVTUNV23RsHk9,"https://www.google.com/maps?q=17.1929375,42.6393125",
49,JA060,جازان,صناعية صامطه,Operation,16.6347029,42.9330356,google_place,محطة درب,"GSPA4404, 4404 الصناعية 5, 7023, Samtah 86385, Saudi Arabia",ChIJ7cf34yS_BxYRaDCZQLvyP5A,https://maps.app.goo.gl/RqeMiGTQwZLFK9TWA,"https://www.google.com/maps?q=16.6347029,42.9330356",
50,JA061,جازان,طريق صبيا,Operation,16.971933,42.616468,google_place,محطة درب,"King Abdul Aziz Rd, Jazan 82941, Saudi Arabia",ChIJv--gBzn_BxYRJDSy2Sxo2TM,https://maps.app.goo.gl/nkbnCNJKf9t67Gh66,"https://www.google.com/maps?q=16.9719330,42.6164680",
51,JA069,جازان,كورنيش جيزان,Operation,16.954885,42.5389842,google_place,محطة درب,"Corniche Rd, Ash Shati, Jazan 82810, Saudi Arabia",ChIJn86FVAAHCBYRq2TMUrmHJ7Y,https://maps.app.goo.gl/yRaMgmjKChpZ4NH99,"https://www.google.com/maps?q=16.9548850,42.5389842",
52,JA056,جازان,الروابي-المودة,Operation,16.9610914,42.6113902,google_place,محطة درب,"King Abdul Aziz Rd, طريق, Jazan 82837, Saudi Arabia",ChIJNbSnoHb9BxYRz5B6Q_J4ajA,https://maps.app.goo.gl/QL286Svw39DmRHTe8,"https://www.google.com/maps?q=16.9610914,42.6113902",
53,JA227,جازان,العارضة,Franchises,17.0190862,43.0453769,google_place,محطة درب,"Al Aridhah 83215, Saudi Arabia",ChIJ62mnla17_RURXsHnKy4KiZs,https://maps.app.goo.gl/gSK5jaYLnJE9NAqSA,"https://www.google.com/maps?q=17.0190862,43.0453769",
54,JA272,جازان,مسارات درب الزامل,Franchises,20.0456609,42.5842456,google_place,محطة درب,"Alfaisaliyah, Bisha 67715, Saudi Arabia",ChIJa28VvB4r8BURKPmXICEkyZ8,https://maps.app.goo.gl/5GtVhpuqwqN9tpKp9,"https://www.google.com/maps?q=20.0456609,42.5842456",تنبيه: الموقع يبعد ~349 كم عن جازان — تحقق من صحة الرابط في الجدول
55,JA092,جازان,الصفا-محمد بن ناصر+ احد المسارحه,Franchises,16.7004001,42.9554266,google_place,محطة درب,"3417 King Abdullah Rd, Al Baladiah, GSPB6318, 6318, Ahad Al Masarihah Saudi Arabia",ChIJXZHtbqaXBxYRXesSh7qw7eQ,https://maps.app.goo.gl/WzGhdq43qgNmc4oRA,"https://www.google.com/maps?q=16.7004001,42.9554266",
56,JA302,جازان,ركن جاز الفرسان,Franchises,16.6926298,42.1244745,google_place,محطة درب,"الحي الجنوبي, Farasan Island 88238, Saudi Arabia",ChIJq6wyCrJbCBYRCSlNHX3PGTQ,https://maps.app.goo.gl/TwaaBw3XssNaPeYVA,"https://www.google.com/maps?q=16.6926298,42.1244745",
57,JA256,جازان,ركن جاز الفطيحة,Franchises,17.5687418,42.6329913,google_place,محطة درب,"HJ9M+P97, Al Fatiha 87472, Saudi Arabia",ChIJdY_pf1wv_RURM8Ksz2_2iWk,https://maps.app.goo.gl/XxckHc1WLygaHyME6,"https://www.google.com/maps?q=17.5687418,42.6329913",
58,JA041,جازان,القسوم-احد المسارحه,Operation,16.7245739,42.9411982,google_place,محطة درب,"2567 King Abdullah Rd, Al Mantiqah Al Sinaiah, GTMB6693, 6693, Ahad Al Masarihah 86631, Saudi Arabia",ChIJz7ub53iVBxYR4Q36XyJISqY,https://maps.app.goo.gl/e5SFPqYQrZWVuMtN9,"https://www.google.com/maps?q=16.7245739,42.9411982",
59,JA156,جازان,ركن جاز  العيدابي - لتركو,Franchises,17.2382816,42.9507329,google_place,محطة درب,"Al Edabi 85744, Saudi Arabia",ChIJn0SYZ-dt_RURxp8h_3f1Jv4,https://maps.app.goo.gl/tv3zv7sCCcMaNgK86,"https://www.google.com/maps?q=17.2382816,42.9507329",
60,JA207,جازان,الطالبي - الحقو,Franchises,17.529936,42.67672,dropped_pin,,,,https://maps.app.goo.gl/nwaLBc8ufwoSD66fA,"https://www.google.com/maps?q=17.5299360,42.6767200",
61,JA348,جازان,صبيا  / جازان,Franchises,17.1575529,42.6231405,google_place,محطة درب,"King Fahd Rd, Aziziyah, Sabya 85297, Saudi Arabia",ChIJb35DSQBT_RURnWZn2iHKLMM,https://maps.app.goo.gl/6zGnZoExbhnRshTFA,"https://www.google.com/maps?q=17.1575529,42.6231405",
62,RY024,الخرج,غرناطة - الخرج طريق الملك عبد الله,Operation,24.1410803,47.2821616,google_place,محطة درب,"6714 King Abdullah Road, Al Khuzama, 2688, Al-Kharj 16272, Saudi Arabia",ChIJlSQG3TdFJT4RtaX9Ntdx3Zc,https://maps.app.goo.gl/pbkZubjPkrJmFh2u7,"https://www.google.com/maps?q=24.1410803,47.2821616",
63,RY025,الخرج,الحمرا - الخرج طريق الملك عبد الله,Operation,24.1607766,47.3110583,google_place,محطة درب,"ابن جرير التنوخي, حي الحمراء, Al-Kharj 16278, Saudi Arabia",ChIJT7uFyE5PJT4RWQ12kkkZSCA,https://maps.app.goo.gl/1BzRfUHenBam4M957,"https://www.google.com/maps?q=24.1607766,47.3110583",
64,RY042,الخرج,الناصفة,Operation,24.1925625,47.2766875,google_place,محطة درب,"57VG+2MG, An Nasifah, Al-Kharj 16282, Saudi Arabia",ChIJMVMpIkFbJT4RDN1YJuPoBnM,https://maps.app.goo.gl/Fe8EWjcMV9zZaWLX9,"https://www.google.com/maps?q=24.1925625,47.2766875",
65,BH065,الباحة,النزهه,Franchises,20.0399375,41.4955625,google_place,محطة درب,"Alnuzhah, Al Bahah 65711, Saudi Arabia",ChIJpWTJXMpH7xUR8WM6r48F3vc,https://maps.app.goo.gl/y8NbK4HXY8zziktK6,"https://www.google.com/maps?q=20.0399375,41.4955625",
67,AS081,عسير,العزيزيه,Franchises,18.30786,42.754308,google_place,محطة درب,"King Fahd Rd, Al'aziziyah, Khamis Mushait 62462, Saudi Arabia",ChIJU6XLCyhb-xUREJolmk_CvIw,https://maps.app.goo.gl/rZbxrE8ah2viPrbo8,"https://www.google.com/maps?q=18.3078600,42.7543080",
68,As085,عسير,خيبر بيشة,Franchises,18.81064,42.8797486,google_place,محطة درب,"طريق بيشة, العام, Khaiber Al-Janoub 62685, Saudi Arabia",ChIJVzaCPHnh-hURGMv9xZ9mycU,https://maps.app.goo.gl/BLQW15tfJicdR6pw7,"https://www.google.com/maps?q=18.8106400,42.8797486",
69,AS271,عسير,مسارات درب عقبة شعار,Franchises,18.4276126,42.474229,google_place,محطة درب,"طريق الملك فيصل بن عبدالعزيز، حي شعار, ابها Saudi Arabia",ChIJQeU6w6it5BURuInLdyS69oU,https://maps.app.goo.gl/ojEhupJ43gt1t4ya7,"https://www.google.com/maps?q=18.4276126,42.4742290",
70,AS153,عسير,محطة مدخل محايل,Operation,18.5569739,42.0425775,dropped_pin,,,,https://maps.app.goo.gl/AQpXHJgg5NFXkJ9E8,"https://www.google.com/maps?q=18.5569739,42.0425775",
71,RY075,الرياض,الدايري الشمالي,Operation,24.7869847,46.7071266,google_place,محطة درب,"Northern Ring Rd, Al Falah, Riyadh 13314, Saudi Arabia",ChIJjQdh4qP9Lj4RuKC_ZDPzJxw,https://maps.app.goo.gl/5v2jRyYf2f5AxTJM6,"https://www.google.com/maps?q=24.7869847,46.7071266",
72,RY106,الرياض,نجم الدين الايوبي - طويق,Franchises,24.5520662,46.5705565,google_place,محطة درب,"Najm Al Din Al Ayoubi, Tuwaiq, Riyadh 14936, Saudi Arabia",ChIJObCVyCwXLz4R4T_mLOMi36g,https://maps.app.goo.gl/KSDGQreydiMmc4FW6,"https://www.google.com/maps?q=24.5520662,46.5705565",
73,EP102,الشرقية,شارع أحد تاروت-القطيف,Franchises,26.57409,50.05348,google_place,محطة درب,"Uhud Rd, Al Manakh, Tarout 32615, Saudi Arabia",ChIJ8fH9UAABSj4RBmMGfbCO7OU,https://maps.app.goo.gl/UXhZuXqHExhzERuP7,"https://www.google.com/maps?q=26.5740900,50.0534800",
74,EP051,الشرقية,كورنيش الخبر,Operation,26.142104,50.160056,google_place,محطة درب,"King Fahd Road, Al Amwaj, Al Khobar 34751, Saudi Arabia",ChIJt2lW9bDbST4RE3qftnqWpkU,https://maps.app.goo.gl/A1qfBqxnAwN7WsX1A,"https://www.google.com/maps?q=26.1421040,50.1600560",
75,HA043,حائل,العريفي,Operation,27.4692337,41.66173,google_place,محطة درب,"HAGB7488، فهد العلى العريفي, 7488, Hail 55433, Saudi Arabia",ChIJgwnzLgA_dhUR46EWcxBrOTs,https://maps.app.goo.gl/1gPTmdTse4b95yqs7,"https://www.google.com/maps?q=27.4692337,41.6617300",
76,QS055,القصيم,الدائري الشرقي,Operation,26.335151,44.0563043,google_place,محطة درب,"83P4+3G, Buraydah 52225, Saudi Arabia",ChIJxxkwYABffxURO0H_Cok0RBU,https://maps.app.goo.gl/DZ5Zi4RE4ruQvbks7,"https://www.google.com/maps?q=26.3351510,44.0563043",
77,MD224,المدينة المنورة,محطة الجمعية العربية,Franchises,24.1007373,38.0871288,dropped_pin,,,,https://maps.app.goo.gl/A6WV24sPNmREVdth8,"https://www.google.com/maps?q=24.1007373,38.0871288",
78,MD009,المدينة المنورة,طريق السلام,Franchises,24.4901987,39.5073193,google_place,محطة درب,"4155 طريق السلام الفرعي، As Salam, DMMA6222، 6222, Madinah 42356, Saudi Arabia",ChIJj70xFQC5vRURgXYDeK5EV0I,https://maps.app.goo.gl/5WCGyZi9UzE63qig9,"https://www.google.com/maps?q=24.4901987,39.5073193",
79,EP134,حفر الباطن,فيو الواحة,Franchises,28.4010653,45.982083,google_place,محطة درب,"طريق فيصل بن عبدالعزيز, Al Wahah, Hafar Al Batin 39913, Saudi Arabia",ChIJXfjyFgA51z8RAtLpqQUsGAI,https://maps.app.goo.gl/ubE5wRvRAWtqw3Ya6,"https://www.google.com/maps?q=28.4010653,45.9820830",
80,NP130,طريف,العقيلي -طريق الامير سلطان,Franchises,31.6524837,38.6864162,google_place,محطة درب,"طريق سلطان بن عبدالعزيز, Al Wurud, Turaif 75312, Saudi Arabia",ChIJeUVFfa7fExURYTYaqflXGo0,https://maps.app.goo.gl/JQGwPNxVayJDSy6J8,"https://www.google.com/maps?q=31.6524837,38.6864162",
81,NP131,طريف,العقيلي- طريق ابو بكر,Franchises,31.6734363,38.6918638,google_place,محطه درب,"حي الورود، 3431 شارع ابو بكر الصديق SCJA3431 8568, Turaif 75312, Saudi Arabia",ChIJf0V-KgDhExUR8-2KqfimLaQ,https://maps.app.goo.gl/7U6C52p9whh4TQRNA,"https://www.google.com/maps?q=31.6734363,38.6918638",
82,NJ219,نجران,المركب,Operation,17.5297165,44.3246094,google_place,محطة درب,"شارع المركب, Najran 66247, Saudi Arabia",ChIJP4_q2Lvf_hURLUqobQf90hA,https://maps.app.goo.gl/mh5i4Y4xRfk8Qia69,"https://www.google.com/maps?q=17.5297165,44.3246094",
83,RY201,الرياض,نبض- طنجة ظهرة البديعة,Franchises,24.6003399,46.6585284,google_place,محطة درب,"الخير, Riyadh 12782, Saudi Arabia",ChIJuev0-h0bLz4RMAYZJwWatBA,https://maps.app.goo.gl/FbEPSpHdT13bC1rW7,"https://www.google.com/maps?q=24.6003399,46.6585284",
84,JA070,جازان,درب الجنوب الاولي - بندر عبده محمد الوائلي الظبية,Franchises,17.1153071,42.6548026,google_place,محطة درب,"GBSC6680, 6680 King Abdul Aziz Rd, 4148, صبيا 85289, Saudi Arabia",ChIJJyxYobNR_RURJHcGe_iTFh8,https://maps.app.goo.gl/5H5BvhtmFHcafDEq9,"https://www.google.com/maps?q=17.1153071,42.6548026",
85,AS192,خميس مشيط,محطه الرؤيا-وادي هشبل,Operation,18.377249,42.714924,google_place,محطة درب,"وادي بن هشبل, Khamis Mushait 62486, Saudi Arabia",ChIJ3QaJu0Fb-xURYOoKwlrOAC8,https://maps.app.goo.gl/jD5fQtzszsLJiPnWA,"https://www.google.com/maps?q=18.3772490,42.7149240",
